"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
8.50028920819365e-40,3.02739501072533e-38,1.87382722538147e-39,8.64442398144142e-40,8.51477927116292e-40,1.87588691710944e-39,8.07602846834921e-39,8.67291100359151e-40,8.50414582694689e-40,1.17827035262562e-39,9.15755374057323e-40,1.49488947971774e-39,1.24667296600126e-33,9.89042317480204e-40,9.86564204501767e-29,9.9441661065614e-13,0.000529314932076478,748.886870885966,6.62031920144179e+27,9.59240988352881e-40,1.13589761651609e-39,11,750
3.41889544248857e-37,5.43424561709496e-35,4.65704639490742e-37,3.3873016213994e-37,7.78734292836847e-37,3.23623723517963e-37,3.05418167931441e-37,2.98395955893527e-37,7.57584347785178e-37,1.22759558713457e-36,4.66209019553084e-37,3.8510851122553e-37,1.78880499720551e-31,6.58987567729654e-37,6.89276243064583e-32,6.1716449785968e-14,0.00266670434361224,47325.9044898322,2.48577145981947e+21,3.06585154586626e-37,2.78589692281685e-37,12,750
9.52075882218972e-40,4.00373242797127e-38,1.04446955123506e-39,1.06079565942434e-39,2.27401118459842e-39,5.8907318780282e-39,9.54479058087327e-40,1.92314140699589e-39,1.0357195229684e-39,9.52327742616235e-40,9.60503211468819e-40,3.61899384746742e-39,1.47490795256342e-32,1.10822930506159e-39,7.07584238432181e-28,9.68404817939139e-15,0.0402385057621015,6802.07131903443,5.13256956337073e+23,1.34391323282747e-39,1.00648212364735e-39,13,750
3.72683563175614e-37,2.65465118482769e-36,2.65098970729623e-37,3.20848239533679e-37,1.71044826923981e-37,1.25952357352065e-37,1.71311193407358e-37,1.61355200577316e-36,9.14962607853603e-38,1.05208434101947e-37,1.02052010593805e-37,1.16393139953852e-37,1.46466258759378e-33,1.15717938699241e-37,4.43355401662422e-31,7.39874062758867e-15,1.00940953148843e-06,1289.29629283249,82401513326142064,1.19223347322937e-37,1.53929952659549e-37,14,750
1.02048902770853e-37,1.75167616809953e-36,2.73123809766709e-38,3.01124848402944e-38,2.56910290500234e-38,2.56995549952455e-38,2.72578630595622e-38,3.33543310933668e-38,3.10256643014894e-38,2.41355404613555e-38,8.68913785679135e-38,2.41523171846617e-38,5.46785081602091e-35,7.15199471119831e-38,1.45002348630159e-28,1.14225418498903e-15,3778.76452825888,0.0223134414458113,52712571419995928,2.72803185383713e-38,4.15290631873418e-38,15,750
3.58363677968414e-36,1.51141256402234e-33,1.0125484721988e-35,4.7267866085649e-36,4.23090372458836e-36,9.75254138505766e-36,1.43555067281968e-35,3.83746400643875e-36,3.08295094495107e-35,7.91507290365967e-36,3.77937560614592e-36,3.93630464993559e-36,9.26647117021169e-33,7.29493629951968e-35,7.63214415289096e-27,7.895482650307e-10,1.25260023222224e-07,0.0488771973365105,470730242075.972,3.67297407368352e-36,8.51261119771936e-36,16,750
7.17800117219949e-40,1.98329914693944e-38,1.48495329543381e-39,6.90038054983521e-40,6.82325888652374e-40,8.57101770127181e-40,1.49169845960317e-39,7.33439715574271e-40,7.09087099834289e-40,3.05459398680969e-39,7.00064499680187e-40,6.89498482696231e-40,5.29635874294097e-37,8.04984011048015e-40,5.59298693591177e-33,8.89848067747547e-12,1.74190975584362e-11,1.70020637123508e-07,5.30012962801557e+24,7.65388156647343e-40,1.57966080733837e-39,17,750
5.71238829652893e-40,2.26958401391583e-39,4.87176173575183e-41,2.08929954016795e-41,2.04005288545848e-41,3.1047837530872e-41,1.80529107368294e-41,1.89791901604404e-41,1.83628421838041e-41,1.73219183971499e-41,1.98632205142691e-41,3.92269501882189e-41,1.14860261421469e-35,1.83729193033862e-41,1.04075817751022e-37,1.41716601811677e-21,0.00820169509060853,82045.0259192096,1.0433741941698e+24,5.18643567335259e-41,4.66967689304666e-41,18,750
2.21261699057883e-39,2.15839735257056e-37,3.27311988163363e-39,1.67513980480469e-39,6.25609326188395e-40,7.64446700803404e-40,1.34249496820275e-38,6.26946862866048e-40,6.37526097723011e-40,6.28059156798967e-40,1.55500881347876e-39,7.15861310505221e-40,1.16601944629537e-33,6.70612614911109e-40,2.15035380342333e-28,8.30846168840412e-22,2.52339061473246e-06,0.116517244245642,29129699518471316,8.65100297019824e-40,6.81474532207988e-40,19,750
1.34195810321909e-40,6.80670032796037e-40,1.10728272921284e-40,1.01133397104812e-40,1.00075766660804e-40,1.00189754069523e-40,9.55637872185583e-41,1.21711385039977e-40,1.19329013276446e-40,1.31541259583002e-40,1.0571480225352e-40,9.55522825268389e-41,3.3934075853016e-37,2.48401442905889e-40,1.80504043080637e-30,5.2378264817277e-21,5.96498429156047e-06,2.46271123690161e-12,25247883.4344145,1.22794420891909e-40,1.24137670272947e-40,20,750
