"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
3.19753435947906e-112,1.73574341096743e-52,2.47956000715173e-112,1.74650825960467e-112,7.01838751331281e-112,2.45611852132041e-112,3.20075989317789e-112,1.93004187175034e-110,1.72736475396111e-112,3.33673286248858e-112,1.82929194841853e-112,1.75534158268892e-112,1.08165194454226e-13,1.69331886664635e-112,4.79300123747422e+70,Inf,Inf,Inf,Inf,2.52928030859264e-112,5.577235525914e-112,11,1200
5.76683624678012e-113,2.73825054050459e-57,5.42123622541175e-113,8.10028572196414e-113,2.93746587730024e-112,5.34517544131208e-113,5.81378603740062e-113,1.67048090474785e-112,6.81708705906253e-113,6.84715923698775e-113,5.63897361693988e-113,6.56249532470412e-112,200.337843671159,6.57623851430171e-113,2.16656892463405e+67,3.53086698516896e+291,Inf,Inf,Inf,6.26845957570615e-113,1.82697101920015e-112,12,1200
1.06837912611763e-109,1.6901694884719e-55,9.78739872958811e-110,9.54217420277137e-110,4.00651953784508e-109,2.49271959651364e-109,3.18114748501653e-109,1.1617571618646e-109,2.61208843112923e-109,1.23424566995041e-109,1.33759682317702e-109,1.31941572990186e-109,4.0472760925657e-13,9.52682379745731e-110,2.23970617712008e+76,Inf,Inf,Inf,Inf,1.52748053032115e-109,1.21864067040093e-109,13,1200
2.63985816921517e-115,4.85457721540664e-53,2.87095952963545e-115,2.81572230817992e-115,2.24167663175479e-115,1.99487256817666e-115,1.94966785519821e-115,2.4737415356992e-115,7.51575412788796e-114,2.00503322183889e-115,8.03527100673953e-115,9.07588094000448e-115,4.83952068788434e-07,6.60179730055924e-115,3.39718390232921e+57,Inf,Inf,Inf,Inf,2.30073306347473e-115,2.64389796483481e-115,14,1200
4.67272262161294e-116,3.70814149787434e-59,2.59749409943201e-116,4.10396742410028e-116,2.69960621773518e-116,2.8530934703388e-116,1.36465074094797e-115,2.6054046240068e-116,3.20417700925891e-116,3.2285498090892e-116,2.70445984286536e-116,2.69273006063705e-116,1.41107352256049e-25,2.89318165578169e-116,4.21584552181167e+68,Inf,Inf,Inf,Inf,3.03831149578199e-116,2.46398814174219e-116,15,1200
6.19787787205378e-116,1.37768079221532e-48,1.88713020983867e-114,6.89459694970553e-116,7.95691418983928e-116,6.04490354011604e-116,7.29938517385844e-116,9.23456475869752e-116,9.60535362603223e-116,5.95284726506616e-116,8.69872298939877e-116,7.89958154472158e-116,2.70376178005623e-23,1.26919175269544e-115,2.60815713189086e+76,Inf,Inf,Inf,Inf,1.46539133096918e-115,5.8361426700476e-116,16,1200
6.15241446272228e-112,3.79091651089104e-46,7.17561683813078e-112,6.05811011943095e-112,9.57823569026761e-112,6.02655992171621e-112,2.68482434187722e-111,6.25281108259192e-112,8.99794409035015e-112,9.16502740830621e-112,6.65949380105828e-112,8.57012719138501e-112,7.22075240671552e-11,7.36277831181397e-112,3.03941577828788e+67,Inf,Inf,Inf,Inf,2.28976513697878e-111,6.14635213476751e-112,17,1200
1.36678356501207e-113,1.15628588807256e-47,1.62986871431825e-113,1.05836156391604e-113,1.46567097052674e-113,2.00029078764303e-113,1.22765768485979e-113,1.36108086255916e-113,2.18189788369974e-113,3.50495642140204e-112,1.28309651776929e-113,1.24730807529938e-113,4.6119324949979e-09,1.17888269990053e-113,9.58232623259057e+61,4.29908550038336e+295,Inf,Inf,Inf,1.03292896517509e-113,1.16727087792379e-113,18,1200
6.87689930935729e-115,1.11152226014569e-55,2.49592234425292e-115,2.04479440447581e-115,1.61613291887615e-115,3.50011408263706e-115,2.36391542452476e-115,2.29231351294012e-115,3.03208554495691e-115,1.8199328997419e-115,2.85358187567359e-115,3.02010095545322e-115,9.32573511661221e-14,1.59529923968728e-115,9.57959896976682e+75,Inf,Inf,Inf,Inf,2.11137407410737e-115,2.55380006860901e-115,19,1200
4.79004446835683e-119,2.90282182791907e-49,3.24709929144281e-119,3.11725348017885e-119,7.52322066579923e-119,3.17271926495821e-119,3.37702787363339e-119,3.12490756446214e-119,5.72304037485411e-119,7.44402337351963e-119,3.11725099567429e-119,5.579696070247e-119,1.30485541887184e-13,3.35908366111965e-119,2.01156022442113e+85,Inf,Inf,Inf,Inf,3.20271149973636e-119,3.4274504064861e-119,20,1200
1.40887730491938e-116,1.65249964856184e-61,1.31608822213046e-116,1.29991254907142e-116,1.55882178171342e-116,1.26475631874279e-116,2.88959052151193e-116,1.38731592720214e-116,4.09669589595012e-116,1.29182567351817e-116,3.5887183618235e-116,2.62367566739871e-116,6.33975315934551e-14,1.4034886637919e-116,3.67751338005699e+85,Inf,Inf,Inf,Inf,2.22295407289116e-116,2.39892621560773e-116,21,1200
3.94956293571057e-114,1.58809375073225e-55,5.37693356161379e-114,3.72896139515599e-114,1.08020163968844e-113,3.93981871042641e-114,9.2227966101447e-114,3.21169654087508e-114,3.85423260327348e-114,4.04012108723602e-114,4.10287851800697e-114,3.4994690065361e-113,1.01929850632364e-08,3.06486416861789e-114,2.81491037363616e+86,Inf,Inf,Inf,Inf,5.480549769186e-114,9.78528250457436e-114,22,1200
